var,fr,en
addPackGUI_BtnAddPack, "Ajouter un paquet", "Add a package"
addPackGUI_BtnAddPackMsg, "Ajouter un paquet selon sa catégorie", "Add a package according to its category"
addPackGUI_BtnAddPPA, "Ajouter un PPA", "Add a PPA"
addPackGUI_BtnAddPPAMsg, "Ajouter manuellement un PPA", "Add a PPA manually"
addPackGUI_Cancel, "Annuler", "Cancel"
addPackGUI_CancelMsg, "Annuler les changements effectués", "Cancel the modifications"
welcomeGUI_BntAdd, "Ajouter", "Add"
welcomeGUI_BtnAddMsg, "Ajouter des paquets", "Add packages"
welcomeGUI_BtnQuit, "Quitter", "Quit"
welcomeGUI_BtnQuitMsg, "Quitter le programme", "Leaving the program"
welcomeGUI_BtnVal, "Valider", "Validate"
welcomeGUI_BtnValMsg, "Valider la sélection", "Validate the selection"
welcomeGUI_WinMsg1, "Bienvenue dans l'installateur graphique", "Welcome in the GUI installing program"
welcomeGUI_WinMsg2, "Choisissez une option parmi ces boutons", "Please choose an option among these buttons"
welcomeGUI_WinName, "Menu principal", "Main menu"
